,año,mes,LAJA_I,ANGOSTURA,ANTUCO,ABANICO,ELTORO,RALCO,PANGUE,MAMPIL,PEUCHEN
248,1980,12,5.075257253619764,63.5621172417511,32.89650392412703,7.438160368735385,59.108445560616985,190.63991722903216,6.958822471967742,22.149068400537647,40.262644475806454
249,1981,1,6.181625545367487,115.73217329666421,20.58278546871754,7.272717033961186,37.126951391765076,167.06923220967735,21.52758467283871,26.22955267473117,46.476977768817214
250,1981,2,3.819999999999999,49.54057388270517,12.430000000000003,7.3999999999999995,22.969999999999978,107.00000001000002,10.999999999749999,22.813140282738107,41.038951339285724
251,1981,3,2.4585262467357154,36.78877003374838,10.041709399177766,7.486363866186208,24.85018724153004,78.90861691935483,8.87963023632258,10.596937383064523,17.41049456989247
252,1981,4,4.120072858361371,62.053159982076,12.390767859327575,4.628892442095578,25.66551892684512,90.3066330309677,11.186195964161287,8.012205037894551,11.63212062859868
253,1981,5,129.6432233201768,379.32531114365275,131.15347977217573,10.185225053096241,180.7174434844456,773.2808164516126,80.32190097967742,43.82862634408601,71.75976731182799
254,1981,6,52.43293404590781,196.3515135318567,83.1998896931129,7.978951869309891,102.61895293897773,489.0348903033337,39.47013175213331,34.711926125,55.044856666666654
255,1981,7,28.929304406406203,264.1317218923896,70.00570502585786,6.7637058887396915,77.67904575623821,453.6435094419353,55.14853395290326,40.288816505376346,63.604725282258016
256,1981,8,20.76032943560804,184.79356594249714,63.8311523025333,5.734635639633009,70.43259144511724,371.7818456032259,31.686891950645172,32.80332696236562,50.906973064516094
257,1981,9,25.212190377740455,158.36348803985138,56.96708659788952,4.29335984833969,64.0918389514796,304.34339174666667,17.913029883999993,32.31413930555553,51.640579319444434
258,1981,10,1.9790681003584225,110.71513056533922,48.80538299608415,4.547669694750582,80.18413329229534,305.6154245096773,34.04795344903227,22.009255094086026,35.89042130376343
259,1981,11,6.771917687244855,80.56788315502806,39.78305587684948,4.161740784362233,71.8858622698495,249.62359088666662,8.88717722386667,20.277081083333318,34.05386797222221
260,1981,12,8.286579671254735,40.76768304521006,23.39032898225466,3.323554705140071,37.8833568948123,133.19393035483878,9.05513855774194,17.343972930107512,31.42286341397847
261,1982,1,8.93599320882852,37.35471285183184,14.380661557694726,4.176202972604266,25.12917938552026,83.04490065935485,18.67036994032258,15.393161774193558,27.850271801075255
262,1982,2,9.98,39.48750508873384,11.61062,3.6455000000000384,21.408487732,76.89999999999998,16.899999997500007,14.126753671130945,25.288091622023796
263,1982,3,11.138131085715052,36.52650173626591,8.952537872229728,3.065001713628954,20.222282618501385,62.817545188064514,14.645496099677418,10.236437588709686,16.799339637096764
264,1982,4,7.300120783567997,31.94255641899306,8.402458660873027,3.165704911953182,15.510362091627625,53.55392770645161,13.319317524516139,1.1815940122702047,1.0920004869493583
265,1982,5,11.209263241257089,87.60411771469487,47.02413035620682,4.973317011563353,54.76929796057061,136.64592625290322,32.592435899032246,22.238339233870978,34.58584301075267
